Epoch,Loss_D,Loss_G,Score_D,Score_G,PSNR,SSIM
1,0.9913005497815907,0.005599521998432465,0.009366843603551387,0.00020586582412976723,35.63139949675997,0.9357432817314958
2,1.0,0.0027563565661548636,0.0,0.0,37.06198826386649,0.9501145991596494
3,1.0,0.002494137707835762,0.0,0.0,37.81892612231087,0.9550657479970662
4,1.0,0.0024075330905616284,0.0,0.0,37.45625906590783,0.9546053125574305
5,1.0,0.002347103206324391,1.0310182615955791e-39,2.5756997077572847e-40,36.594120265239134,0.9567115824143808
6,1.0,0.0023164580005104653,1.50288322830164e-40,2.3819855848247633e-40,39.00914133353711,0.9585725413905727
7,1.0,0.0022932633083546533,1.0102282605665754e-39,6.722754935275807e-40,39.32521772317807,0.9590608743098644
8,1.0,0.0022657435019500555,1.3451046926271085e-39,2.3799335436724338e-39,40.07552882689714,0.960963652656601
9,1.0,0.002260881904279813,4.7124418415491507e-35,1.5187283227719095e-35,40.478538271625304,0.9624081719387043
10,1.0,0.002247742157720495,1.4854948106990178e-35,2.3671588976378465e-36,40.25831730315228,0.9590493092188487
